DTSTART,DTEND,SUMMARY,LOCATION,DESCRIPTION
2025-12-23T19:00+09:00,2025-12-23T22:00+09:00,CyberFriday #53, https://www.fukui-nct.ac.jp 福井高専コミュニティルーム/Sabae city,
2025-11-28T19:00+09:00,2025-11-28T22:00+09:00,CyberFriday #52,敦賀駅オルパーク2F https://orupark.jp/?page_id=51 /Tsuruga city,report https://fukuno.jig.jp/4874
2025-10-31T19:00+09:00,2025-10-31T22:00+09:00,CyberFriday #51, https://lp-lpa.co.jp エルパ/Fukui city,
2025-09-26T19:00+09:00,2025-09-26T22:00+09:00,CyberFriday #50, https://lp-lpa.co.jp エルパ/Fukui city feat.  https://nt-fukui.jp NTふくい前夜祭、 https://www.fisc.jp/kumadigifes クマンドウデジタルアライブも同日開催,report https://fukuno.jig.jp/4811
2025-08-22T19:00+09:00,2025-08-22T22:00+09:00,CyberFriday #49,jig.jp https://www.jig.jp/about#profile /Sabae city,report https://fukuno.jig.jp/4776
2025-07-25T19:00+09:00,2025-07-25T22:00+09:00,CyberFriday #48,大野市 結とぴあ 3F 305/306 https://www.city.ono.fukui.jp/shisei/sonota/yuitopiariyou.html /Ono city feat. 血糖変動に向き合う2週間 https://www.pref.fukui.lg.jp/doc/sinsan/sougyousinnsanngyousousyutugur/sennsinngijutu.html ,report https://fukuno.jig.jp/4748
2025-06-27T19:00+09:00,2025-06-27T22:00+09:00,CyberFriday #47, https://www.fisc.jp/offering/consult/2025/04/171849 福井県産業支援センター2F 共創スペース/Fukui city,report https://fukuno.jig.jp/4720
2025-05-30T19:00+09:00,2025-05-30T22:00+09:00,CyberFriday #46,jig.jp https://www.jig.jp/about#profile /Sabae city feat.  https://www.l-community.com/forum 電脳メガネサミット,report https://fukuno.jig.jp/4692
2025-04-25T19:00+09:00,2025-04-25T22:00+09:00,CyberFriday #45,jig.jp https://www.jig.jp/about#profile /Sabae city,report https://fukuno.jig.jp/4657
2025-03-28T18:00+09:00,2025-03-28T21:30+09:00,CyberFriday #44, https://lp-lpa.co.jp エルパ/Fukui city feat.  https://www.instagram.com/comicalyouth こみかる,report https://fukuno.jig.jp/4629
2025-01-31T19:00+09:00,2025-01-31T22:00+09:00,CyberFriday #43,jig.jp https://www.jig.jp/about#profile /Sabae city,report https://fukuno.jig.jp/4573
